,name,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,indeed_rating,indeed_review_count,website_name,giftly_rating,giftly_review_count,houzz_rating,houzz_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,glassdoor_rating,glassdoor_review_count,bestpickreports_rating,bestpickreports_review_count,homeadvisor_rating,homeadvisor_review_count,lawnstarter_rating,lawnstarter_review_count,birdeye_rating,birdeye_review_count,buildzoom_rating,buildzoom_review_count,verifiedlocalpros_rating,verifiedlocalpros_review_count
0,Dr. Green,+18004652934,1.5,97,4.0,344.0,3.9,18.0,3.7,42.0,2.8,16.0,https://doctorgreen.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Chippers Tree Service,+19727439959,5.0,81,5.0,97.0,5.0,14.0,5.0,75.0,0.0,0.0,http://www.chipperstreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Castro's Tree Service,+12147251171,5.0,79,0.0,0.0,5.0,7.0,5.0,336.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Rich Property Maintenance,+12144779764,5.0,51,4.7,15.0,5.0,13.0,0.0,0.0,0.0,0.0,http://www.richpropertymaintenance.com/,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Texas Tree Surgeons,+14693876000,4.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Keane Landscaping & North Texas Trees,+19724244851,3.0,39,0.0,0.0,0.0,0.0,3.1,12.0,0.0,0.0,not claimed on google,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Parker Tree Service,+12143942414,4.0,33,4.7,175.0,4.7,8.0,0.0,0.0,0.0,0.0,http://www.parkertreeservice.biz/,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Polo Landscapes,+12144139896,4.5,31,3.7,3.0,3.7,3.0,0.0,0.0,0.0,0.0,https://pololandscapes.com/,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,H Tree service,+14693438266,5.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rudy's Tree Service,+12148158728,5.0,24,3.4,5.0,0.0,0.0,5.0,4.0,0.0,0.0,http://www.rudystreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.9,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Lindsey Tree Service,+12145530707,3.0,23,4.7,23.0,5.0,4.0,4.7,36.0,0.0,0.0,http://www.lindseytreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,MowPros,+12146697767,3.5,23,1.9,8.0,5.0,1.0,0.0,0.0,0.0,0.0,http://mowpros.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arborilogical Services,+19724421524,4.0,22,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Monster Tree Service of North DFW,+14697510054,5.0,22,4.9,118.0,5.0,6.0,0.0,0.0,0.0,0.0,https://www.whymonster.com/north-dfw/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,124.0,4.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Tufts Tree Service,+14695280494,4.0,21,4.0,12.0,4.7,32.0,5.0,4.0,0.0,0.0,http://www.tuftstreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Monster Tree Service of North Dallas,+19725648613,4.5,20,4.9,75.0,5.0,34.0,0.0,0.0,0.0,0.0,https://www.whymonster.com/north-dallas/?utm_source=GMB&utm_medium=organic&utm_campaign=Frisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Fannin Tree Farm,+19727479233,3.5,20,4.6,87.0,4.8,52.0,4.9,27.0,0.0,0.0,https://www.fannintreefarm.com/?utm_source=GMB&utm_medium=organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Lucky'sTree Service,+12149988716,5.0,17,4.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,http://luckystreeservicetx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Affordable Tree Care,+12144983572,4.0,15,0.0,0.0,4.6,7.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,3.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Preservation Tree Services,+12145282266,4.0,12,4.1,22.0,0.0,0.0,4.5,92.0,0.0,0.0,http://www.preservationtree.com/,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Advantage Lawn Service,+12146825797,4.0,12,3.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,https://advantagelawnservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,127.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Elizondo's Tree Service,+12144501425,2.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Advanced Tree & Shrub Care,+12145448733,3.0,12,4.2,26.0,3.7,2.0,5.0,86.0,0.0,0.0,https://www.advancedtreecareinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,29.0,0.0,0.0,0.0,0.0
23,Natural Environments,+12143575855,3.5,11,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.naturalenvironments.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,13.0,3.0,1.0,0.0,0.0
24,Leatherface Tree Service,+12143048084,5.0,10,4.9,40.0,5.0,5.0,0.0,0.0,0.0,0.0,http://www.leatherfacetreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Eduardo's Tree Service,+19728155208,4.5,10,0.0,0.0,4.2,1.0,4.8,182.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Arbor-Tech Tree Service,+12144458319,4.0,10,4.8,78.0,4.4,4.0,0.0,0.0,0.0,0.0,https://www.arbortechtreeservicetx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,White Rock Tree Wizards,+12146805885,5.0,9,5.0,11.0,4.7,13.0,0.0,0.0,0.0,0.0,https://arborwizard.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Affordable Tree Service,+12144008006,1.5,9,0.0,0.0,4.6,7.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,3.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Arborist USA,+18178806130,4.5,9,4.9,62.0,4.6,12.0,0.0,0.0,0.0,0.0,https://www.arboristusa.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,64.0,0.0,0.0,0.0,0.0
30,Paul Bunyan Tree Services,+18178918733,4.5,7,4.8,76.0,0.0,0.0,4.8,117.0,0.0,0.0,http://www.pbtreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Lumberjack Tree Service,+19724950606,4.5,7,0.0,0.0,5.0,1.0,5.0,177.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Dallas Arbor Care,+12143708733,3.5,7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,http://dallastrees.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,19.0
33,Lambert Landscape Company,+12143508350,3.5,7,4.8,16.0,4.3,21.0,0.0,0.0,0.0,0.0,http://www.lamberts.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Hunter's Tree Service,+19729714036,3.5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Texas Tree Techs,+12145432565,5.0,6,4.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,http://texastreetechs.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Chupik Tree Service,+12148236463,5.0,6,4.3,3.0,0.0,0.0,5.0,12.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.0,0.0,0.0,0.0,0.0
37,Baker Tree Service,+19729867791,4.5,6,4.7,28.0,5.0,8.0,5.0,16.0,0.0,0.0,http://www.treetrimmingirvingtx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Southwest Tree Service,+18178995577,4.5,6,5.0,38.0,0.0,0.0,4.8,11.0,0.0,0.0,https://www.southwesttreeservice.net/,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Salas Services,+19724131800,5.0,6,4.6,20.0,5.0,19.0,5.0,2.0,0.0,0.0,http://www.salasservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Just Trees,+19723850402,3.5,6,4.9,26.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.justtreesdallas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Holcomb Tree Service,+12143279311,3.5,5,3.3,14.0,4.7,2.0,0.0,0.0,0.0,0.0,http://www.holcombtreeservice.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Super Dave's Landscaping,+16827043404,5.0,5,5.0,8.0,4.5,11.0,0.0,0.0,0.0,0.0,http://superdaveslandscape.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,John's Stump Removal,+19728494937,5.0,5,4.8,16.0,0.0,0.0,5.0,45.0,0.0,0.0,https://www.johnsstumpremoval.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Arborworks DFW,+12146497265,5.0,5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,US Tree Care,+12144406210,4.0,5,4.6,9.0,5.0,3.0,0.0,0.0,0.0,0.0,https://www.ustreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Complete Services,+12142870986,2.0,5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.debbygowen.weebly.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Meador's Garden Center and Landscaping,+19403822638,4.0,5,4.6,76.0,4.7,12.0,0.0,0.0,0.0,0.0,http://www.meadornursery.com/,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Vargas Lawn and Sprinklers,+12147976032,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
