,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,website_name,houzz_rating,houzz_review_count,glassdoor_rating,glassdoor_review_count,giftly_rating,giftly_review_count,birdeye_rating,birdeye_review_count,homeadvisor_rating,homeadvisor_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,manta_rating,manta_review_count,yourgreenpal_rating,yourgreenpal_review_count,networx_rating,networx_review_count
0,Chippers Tree Service,Dallas,+19727439959,5.0,81,5.0,97.0,5.0,14.0,5.0,75.0,http://www.chipperstreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Keane Landscaping & North Texas Trees,Wylie,+19724244851,3.0,39,3.5,100.0,0.0,0.0,3.1,12.0,http://www.keanelandscaping.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Blue Ox Urban Forestry,Fort Worth,+18178733776,5.0,36,5.0,30.0,5.0,11.0,0.0,0.0,https://fortworth-treecare.com/,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Archie's Gardenland,Fort Worth,+18177376614,4.5,28,4.8,94.0,4.8,169.0,0.0,0.0,http://www.archiesgardenland.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Preservation Tree Services,Dallas,+12145282266,4.0,12,4.1,22.0,0.0,0.0,4.5,92.0,http://www.preservationtree.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cliff's Tree Trimming,Keller,+18179884745,5.0,10,4.8,22.0,0.0,0.0,5.0,59.0,not claimed on google,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Eduardo's Tree Service,Dallas,+19728155208,4.5,10,0.0,0.0,4.2,1.0,4.8,182.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Arborist USA,Fort Worth,+18178806130,4.5,9,4.9,62.0,4.6,12.0,0.0,0.0,https://www.arboristusa.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.9,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Paul Bunyan Tree Services,Grand Prairie,+18178918733,4.5,7,0.0,0.0,0.0,0.0,4.8,117.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Southwest Tree Service,Euless,+18178995577,4.5,6,5.0,38.0,0.0,0.0,4.8,11.0,https://www.southwesttreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,102.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Tenorio Tree Service,North Richland Hills,+15122287892,5.0,5,0.0,0.0,0.0,0.0,5.0,84.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,The DFW Stump Grinder,Fort Worth,+18179887258,5.0,5,5.0,22.0,0.0,0.0,0.0,0.0,http://dfwstumpgrinder.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Image Tree,Arlington,+18176762148,5.0,4,5.0,14.0,0.0,0.0,5.0,6.0,http://www.theimagetree.co/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A-1 Lawn & Tree Service,Fort Worth,+18174375296,5.0,4,0.0,0.0,4.3,11.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ArborLogics,Fort Worth,+18179358512,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Integra Lawns,Burleson,+18178867702,5.0,4,4.6,9.0,0.0,0.0,0.0,0.0,http://www.integralawns.com/burleson-tx-lawn-care-service/,0.0,0.0,0.0,0.0,0.0,0.0,4.6,10.0,0.0,0.0,0.0,0.0,4.8,52.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Advanced Tree Services,Burleson,+18172014522,5.0,4,5.0,39.0,4.9,23.0,4.9,294.0,http://www.northtexastree.com/,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
17,Sosa Tree Service,Grand Prairie,+19723991060,5.0,4,4.3,18.0,0.0,0.0,4.8,111.0,http://sosa-tree-services.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arbor Masters Tree Service,Grand Prairie,+14695865829,5.0,4,5.0,11.0,0.0,0.0,0.0,0.0,https://arbormasters.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,GreenCare Lawn and Landscape,Crowley,+18178887779,3.0,4,3.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Complete Tree Services,Corinth,+12145876833,3.5,4,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Hunt's Lawn Service,Benbrook,+18176587014,2.0,4,0.0,0.0,4.2,7.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,JL Tree Services,Irving,+12144504273,2.5,4,4.5,8.0,5.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A Affordable Landscaping And Tree Service,Benbrook,+18007152713,2.5,3,5.0,5.0,0.0,0.0,0.0,0.0,https://www.timbertexas.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,149.0,0.0,0.0
24,Brown's Tree Service,Fort Worth,+18173716580,5.0,2,4.9,28.0,0.0,0.0,0.0,0.0,https://brownstreeservicetx.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
25,Integrity Tree Care,Fort Worth,+18177141777,5.0,2,0.0,0.0,4.7,37.0,5.0,27.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Deadwood Stump Grinding,Weatherford,+18177714609,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Just In Time Tree Service,Hurst,+18172711507,3.0,2,3.8,22.0,0.0,0.0,0.0,0.0,https://just-in-time-tree-service.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Sosa Tree Service,Irving,+19723991060,5.0,2,4.3,18.0,0.0,0.0,4.8,111.0,http://sosa-tree-services.business.site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Grasseaters Lawn Maintenance,Benbrook,+18172491070,1.0,2,4.1,15.0,0.0,0.0,0.0,0.0,https://grasseaters.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
