,name,phone,yelp_rating,yelp_review_count,homeadvisor_rating,homeadvisor_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,houzz_rating,houzz_review_count,website_name,google_rating,google_review_count,birdeye_rating,birdeye_review_count,com_rating,com_review_count,customerlobby_rating,customerlobby_review_count,manta_rating,manta_review_count,thumbtack_rating,thumbtack_review_count,rateabiz_rating,rateabiz_review_count,giftly_rating,giftly_review_count,glassdoor_rating,glassdoor_review_count,indeed_rating,indeed_review_count,bestpickreports_rating,bestpickreports_review_count
0,Garcia Professional Tree Service,+12816607362,4.5,99,4.8,328.0,5.0,13.0,4.5,22.0,1.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Gilbert's Tree Service,+17138621287,4.0,47,0.0,0.0,0.0,0.0,5.0,136.0,0.0,0.0,http://www.gilbertstreeandlawnservice.com/,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Houston Tree Team,+18323720101,4.5,46,0.0,0.0,4.8,21.0,4.7,21.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PLS Landscaping,+18324335863,3.5,38,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,http://www.plslandscapingservices.com/,3.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RF Tree Service,+17132695892,5.0,34,0.0,0.0,5.0,10.0,0.0,0.0,5.0,1.0,https://rftreeservice.business.site/?utm_source=gmb&utm_medium=referral,4.9,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Lakewood Trees,+18328886060,5.0,30,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Texas Tree Team,+18329811942,4.5,28,0.0,0.0,4.8,21.0,4.7,454.0,0.0,0.0,https://texastreeteam.com/,4.6,62.0,4.6,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jones Road Tree Service,+12814690458,3.5,27,0.0,0.0,4.6,72.0,0.0,0.0,3.0,2.0,https://www.jonesroadtreeservice.com/,4.7,318.0,0.0,0.0,4.9,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Houston Tree Service,+17139669595,3.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,JJ Garcia Professional Tree Service,+17132949047,5.0,3,4.8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,http://jjgarciaprofessionaltreeservice.com/,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Houston Tree Surgeons,+12818159088,4.5,21,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,https://www.houstontreesurgeons.com/,4.3,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Highpoint Tree Care,+18328793373,4.5,18,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,http://bit.ly/30ummxh,4.7,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,TNT Tree Service,+12812368733,5.0,17,0.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,http://tnttreeservice.com/,4.9,74.0,0.0,0.0,0.0,0.0,5.0,261.0,4.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bayou City Fence Company,+17138358185,4.5,17,0.0,0.0,5.0,26.0,4.9,32.0,0.0,0.0,http://www.bayoucityfence.com/,4.9,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Family Tree Professional Tree Service,+18323179155,4.0,16,4.9,28.0,0.0,0.0,0.0,0.0,0.0,0.0,https://familytreeservicecompany.com/,3.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Garrett Tree Service,+12816197378,5.0,14,5.0,6.0,5.0,12.0,0.0,0.0,0.0,0.0,https://garretttreeservice.com/,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,The Davey Tree Expert Company,+17139738733,1.5,14,0.0,0.0,0.0,0.0,4.7,76.0,0.0,0.0,https://www.davey.com/local-offices/north-houston-tree-service/,2.4,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,King Solomon's Tree Service,+12813671915,4.0,13,0.0,0.0,5.0,7.0,5.0,19.0,0.0,0.0,http://www.kingsolomonstreeservice.com/,4.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Fencemaster Houston,+17136922781,3.0,12,0.0,0.0,5.0,16.0,4.2,25.0,0.0,0.0,https://www.fencemasterhouston.com/,4.7,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Easy Lawn Care,+18328404202,2.0,12,0.0,0.0,2.3,2.0,5.0,1.0,0.0,0.0,http://easylawncare.com/,4.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Houston Arbor Care Tree Service,+12815998733,5.0,11,0.0,0.0,5.0,9.0,5.0,65.0,0.0,0.0,https://houstonarborcaretreeservice.com/,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Texas Tree Trimming,+18327369777,4.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,4.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Ability Tree Experts,+12814414179,1.5,11,0.0,0.0,0.0,0.0,3.6,21.0,5.0,1.0,not claimed on google,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Arbor Care Professional Tree Service,+18326420488,5.0,11,0.0,0.0,5.0,9.0,5.0,65.0,0.0,0.0,https://www.thumbtack.com/tx/katy/tree-services/arboriculture-services,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,The Urban Foresters,+18329473090,4.0,10,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Simpsons Tree Service,+12819800095,4.0,10,0.0,0.0,4.6,10.0,5.0,30.0,0.0,0.0,http://www.eddies-treeservice.com/,4.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Your Sawlution Tree Service,+12817635516,5.0,9,0.0,0.0,0.0,0.0,4.0,37.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,JRP Tree & Demolition Services,+12818208027,5.0,8,0.0,0.0,4.4,17.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Houston Tree Service,+17139669595,2.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Houston Tree Removal,+18328905679,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Adams Tree Service,+12819143531,3.5,8,0.0,0.0,4.9,5.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,3.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Don's Tree Service,+17137743330,4.5,7,0.0,0.0,0.0,0.0,5.0,109.0,0.0,0.0,https://www.donstrees.com/,4.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,LMS Tree Service,+17135623009,4.5,7,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,http://www.treeservicecompanypearland.com/,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Specialist Tree Service,+12815656560,3.5,7,0.0,0.0,0.0,0.0,4.7,63.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Rain or Shine Landscaping,+17133631709,3.5,7,5.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Camron's Precision Landscaping Multi Services,+18329496169,5.0,6,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Sticks Tree Service,+12813731472,5.0,6,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,https://www.treeservice-cypresstx.com/,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Silversand Services,+17137220336,3.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.silversandservices.com/,4.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
38,Arbor-Tech Consulting,+12813392970,4.5,6,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,http://arbor-techconsulting.com/,4.8,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Moss Landscaping,+17138615511,3.0,6,0.0,0.0,5.0,29.0,0.0,0.0,4.9,76.0,http://www.mosslandscaping.com/,3.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,9.0,0.0,0.0
40,Jireh Trees & Landscaping,+18324049500,3.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.jtreeservice.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ATEAM Houston,+12817589743,4.5,6,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ateamhouston.com/,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Tree Worxx,+14093702421,3.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Valerio's Tree Service and More,+18327872221,5.0,5,4.9,109.0,4.9,10.0,5.0,3.0,0.0,0.0,https://valeriostreeserviceandmore.com/,4.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Espinoza Tree Service,+12814059822,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.espinozatreeservice.net/,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,104.0
45,Houston Arborist,+18327308733,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,#1 Houston Tree Services,+12818710090,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
