,name,phone,yelp_rating,yelp_review_count,website_name,homeadvisor_rating,homeadvisor_review_count,birdeye_rating,birdeye_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,manta_rating,manta_review_count,angieslist_rating,angieslist_review_count,buildzoom_rating,buildzoom_review_count,giftly_rating,giftly_review_count,houzz_rating,houzz_review_count,glassdoor_rating,glassdoor_review_count,hirerush_rating,hirerush_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,networx_rating,networx_review_count
0,Torres Tree Service,+18887401762,4.0,414,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jimmie's Tree Service,+15624236202,4.5,401,not claimed on google,4.7,34.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Your Way Tree Service,+18188822335,5.0,326,https://yourwaytreeserviceinc.com/,0.0,0.0,0.0,0.0,4.8,36.0,4.8,19.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,One Day Tree & Landscape,+18007169336,4.5,292,http://www.onedaytreeservice.com/,0.0,0.0,0.0,0.0,4.1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Inexpensive Tree Services,+13238337002,5.0,272,https://inexpensivetreeservice.com/,0.0,0.0,0.0,0.0,4.2,15.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Affordable Tree Care,+18773108733,4.5,251,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,121.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Natural Wonders Trees,+18184308133,5.0,245,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aper's Tree Service,+18182321177,5.0,232,http://www.aperstreeservice.com/#cid=glbc,0.0,0.0,0.0,0.0,4.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Golden State Tree Service,+16262618356,5.0,208,not claimed on google,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Finley's Tree & Landcare,+13103269818,4.5,201,http://www.finleystreeandlandcare.com/,0.0,0.0,0.0,0.0,4.3,24.0,4.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Millan Tree Service, Inc",+18186746387,5.0,188,http://millantreesvc.com/,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Solano's Tree Service & Landscaping,+13236059766,4.5,169,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Matilde's Tree Service,+13232167850,5.0,139,not claimed on google,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,OC TREE CARE,+18665708733,4.5,132,http://octreecare.com/,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Gomez Tree Care,+18187187470,4.5,129,https://www.gomezlandscapeandtreecare.com/,0.0,0.0,0.0,0.0,4.8,41.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,California Green Tree Care,+18189492795,5.0,125,not claimed on google,4.7,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,New Image Landscaping & Tree Service,+16264216270,4.5,122,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,The Sprinkler Tech,+18189390202,4.0,117,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Valley Green Tree Services,+18185783124,4.5,105,http://www.valleygreentreeservices.com/,4.7,223.0,0.0,0.0,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,White's Tree Service/ West Coast Tree Care,+18182990155,5.0,103,http://www.whitestree.com/,0.0,0.0,0.0,0.0,2.5,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Pelletier Tree Service & Brush Clearance,+16613126452,5.0,97,not claimed on google,0.0,0.0,0.0,0.0,5.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Gabriels Tree Services,+13235155178,4.5,94,http://www.gabrieltreeservices.com/,0.0,0.0,0.0,0.0,4.9,173.0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Budget Tree Service,+18054014054,5.0,92,http://budgettrees.com/,0.0,0.0,0.0,0.0,4.2,5.0,0.0,0.0,0.0,0.0,4.8,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Golden Oak Tree Service,+18185738204,5.0,83,http://goldenoaktreeservice.com/,0.0,0.0,0.0,0.0,4.9,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Top Unit Tree Service,+15628811281,5.0,83,not claimed on google,4.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tavite's Tree Service,+15626588032,5.0,74,https://tavites-tree-service.business.site/,0.0,0.0,0.0,0.0,3.3,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,The Urban Lumberjack,+13236649473,5.0,72,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Thrifty Tree Service,+18189964577,5.0,72,https://thriftytreeservice.com/,0.0,0.0,0.0,0.0,4.8,58.0,4.3,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Everest Tree Service,+13232375905,4.5,70,http://everesttreeservice.net/,0.0,0.0,0.0,0.0,4.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Orellana's Clean Ups & Hauling,+15626860837,5.0,70,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,White Valley Tree Services,+16264602064,4.5,66,http://www.whitevalleytreeservices.com/,0.0,0.0,0.0,0.0,4.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,5.0,1.0,0.0,0.0,0.0,0.0
31,David's Tree Service,+17148426345,4.5,64,http://www.davidstree.com/,0.0,0.0,0.0,0.0,3.4,14.0,4.3,4.0,0.0,0.0,4.8,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Supergreen Landscape,+13239301572,4.5,63,http://supergreenlandscape.com/,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,2.0
33,Travers Tree Service,+13105303920,3.0,57,http://www.traverstree.com/,0.0,0.0,2.9,12.0,2.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Green Earth Landscapes,+16269934105,5.0,55,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"3D Tree Services, Inc.",+17143936669,4.5,55,not claimed on google,4.8,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0
36,Angel's Gardening Services,+16262418025,4.5,54,http://www.angelsgardeningservices.com/,0.0,0.0,0.0,0.0,4.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Any Kind Of Tree Service,+13104736439,4.5,50,http://gottrees.net/,0.0,0.0,0.0,0.0,4.5,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Green Leaf Zone,+18184523470,3.5,46,http://www.greenleafzone.com/,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Green Touch Tree and Landscaping Services,+15625677863,4.0,46,http://www.greentouchpros.com/,0.0,0.0,0.0,0.0,4.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Coronado Tree Service And Landscaping,+13233631794,5.0,45,http://www.coronadotreeservice.com/,0.0,0.0,4.1,7.0,4.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Supreme Tree Experts,+18777877363,3.5,44,http://www.supremetreeexperts.com/,0.0,0.0,0.0,0.0,3.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,CLI Carrillo Landscaping,+13102272774,4.5,41,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,39.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Green Splendor Landscaping,+16267102227,4.5,40,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,A Timberland Tree Company,+13106418733,4.5,37,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.8,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Domingo's Tree Care,+18005782221,2.5,37,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Gutierrez & Son's Tree Service & Landscaping,+13103246593,3.5,37,http://www.gutierrezandsonstreeservice.com/,0.0,0.0,0.0,0.0,4.6,12.0,0.0,0.0,0.0,0.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
