,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,giftly_rating,giftly_review_count,website_name,birdeye_rating,birdeye_review_count,com_rating,com_review_count,thumbtack_rating,thumbtack_review_count,homeadvisor_rating,homeadvisor_review_count,checkbook_rating,checkbook_review_count,guildquality_rating,guildquality_review_count,customerlobby_rating,customerlobby_review_count,glassdoor_rating,glassdoor_review_count,houzz_rating,houzz_review_count,giftrocket_rating,giftrocket_review_count
0,Alvin's Landscaping,Tacoma,+12536779064,4.5,106,4.0,4.0,5.0,2.0,4.8,12.0,4.5,103.0,https://m.facebook.com/Alvins-Landscaping-LLC-1031033740287194/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jose's Landscape & Maintenance,Bothell,+14252992654,4.0,92,3.9,26.0,4.5,4.0,4.1,32.0,0.0,0.0,http://www.joseslandscape.com/,3.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Vitalitree,Seattle,+12064987998,4.5,76,4.9,10.0,5.0,4.0,4.9,58.0,0.0,0.0,http://www.vitalitreellc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Matt's Tree Service,Issaquah,+14253698733,4.0,62,4.5,49.0,5.0,13.0,4.0,95.0,0.0,0.0,http://www.mattstreeservice.com/,0.0,0.0,5.0,76.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ballard Tree Service,Seattle,+12067824847,3.0,59,4.0,29.0,0.0,0.0,4.6,157.0,0.0,0.0,http://www.ballardtree.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.7,56.0,3.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Blooma Tree Experts,Seattle,+12067149835,3.5,57,4.4,77.0,4.1,11.0,0.0,0.0,0.0,0.0,https://www.bloomatree.com/,4.4,87.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Eastside Tree Works,Fall City,+12063969998,4.0,56,4.9,23.0,5.0,23.0,4.3,46.0,0.0,0.0,http://www.eastsidetreeworks.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,P'n'D Logging and Tree Service,Maple Valley,+14254327636,4.5,54,4.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.panddtreeservice.com/,4.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Emerald Tree Service,Seattle,+12067260668,4.5,50,4.4,15.0,0.0,0.0,5.0,125.0,0.0,0.0,https://www.tree-service-seattle.info/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Urban Arborist,Shoreline,+12069301427,4.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Seattle Tree Care,Seattle,+12067890534,4.5,48,4.9,71.0,5.0,2.0,0.0,0.0,0.0,0.0,https://www.seattletreecare.org/,0.0,0.0,5.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Westside Tree Care,Shoreline,+12062801067,4.5,47,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kenny Tree,Snohomish,+14255088733,5.0,46,4.7,69.0,0.0,0.0,4.8,163.0,0.0,0.0,http://kennytreeinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.8,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Ever-Green Tree Care,Sammamish,+18006848733,3.0,42,3.2,97.0,0.0,0.0,3.9,233.0,0.0,0.0,http://www.evergreentlc.com/,0.0,0.0,0.0,0.0,0.0,0.0,4.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
14,Tree People,Seattle,+12068534538,5.0,37,4.8,9.0,0.0,0.0,5.0,11.0,0.0,0.0,http://treepeoplenw.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Olson's Outdoor Improvements,Maple Valley,+12066058839,4.5,37,4.6,32.0,0.0,0.0,0.0,0.0,0.0,0.0,http://olsonsoutdoorimprovements.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,All Pro Tree Care,Auburn,+12535697807,4.0,33,4.9,112.0,5.0,8.0,0.0,0.0,0.0,0.0,https://www.allprotreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Hitman Tree,Kirkland,+14252986470,4.5,29,5.0,7.0,0.0,0.0,5.0,28.0,0.0,0.0,https://www.hitmantree.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
18,Wolf and Sons Lawn and Landscaping Service,Renton,+12063355581,4.0,29,4.3,13.0,5.0,13.0,0.0,0.0,0.0,0.0,http://www.wolfandsonslandscaping.com/,4.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,JD Tree Service,Redmond,+14258368800,5.0,26,5.0,6.0,5.0,1.0,5.0,6.0,0.0,0.0,http://jdtreeservice.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Out On A Limb Tree Company - Kathy Holzer,Seattle,+12069383779,4.0,24,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,http://outonalimbseattle.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0
21,Highland Tree Services,Kirkland,+12062513456,5.0,21,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,4.8,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Seahawk Lawn Service,Tacoma,+13605506458,4.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Washington Tree Experts,Snohomish,+12063623380,4.0,19,4.8,28.0,5.0,13.0,0.0,0.0,0.0,0.0,https://washingtontreeexperts.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Andy's Tree Services,Sammamish,+14258903634,5.0,18,5.0,6.0,5.0,7.0,5.0,5.0,5.0,17.0,http://www.andystreeservicesinc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Apical Tree Services,Seattle,+12066798253,4.5,18,0.0,0.0,0.0,0.0,4.7,17.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Devoted Tree Solutions,Snoqualmie,+12533659420,4.5,17,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.8,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Seattle Bamboo,Seattle,+12067241977,4.5,16,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Stump Grinding Northwest,Seattle,+12063633144,5.0,16,0.0,0.0,0.0,0.0,4.9,122.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Conservation Tree Care,Seattle,+12064863398,5.0,16,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.conservationtreecare.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Grun Tree Care,Seattle,+12063211600,4.5,16,4.4,7.0,0.0,0.0,5.0,3.0,0.0,0.0,http://grunmeansgreen.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Stone Tree Services,Seattle,+12066597379,2.0,16,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Northwest Arboriculture,Snohomish,+13606686800,5.0,15,4.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.nwarbor.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Edge Landscaping,Seattle,+12532207720,3.5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tree Harmony Arborists,Mercer Island,+12062750991,4.5,13,4.9,7.0,5.0,3.0,0.0,0.0,0.0,0.0,http://treeharmonyarborist.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,J & J Stump Grinding,Renton,+12062513354,4.0,13,4.3,23.0,0.0,0.0,5.0,14.0,0.0,0.0,http://www.treestumpremovers.net/,0.0,0.0,0.0,0.0,5.0,8.0,4.8,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Bartlett Tree Experts,Lynnwood,+14254816529,3.5,12,3.2,10.0,5.0,4.0,0.0,0.0,0.0,0.0,https://www.bartlett.com/locations/Kenmore-WA.cfm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Elite Tree Care,Bothell,+14253506909,4.5,12,4.4,27.0,5.0,9.0,0.0,0.0,0.0,0.0,http://elitetreecare.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Seattle Tree Service,Shoreline,+12063639742,3.5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,4.6,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Greenscape Lawn and Property Care,SeaTac,+12067863186,4.5,11,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,The Davey Tree Expert Company,Lake Forest Park,+12068298500,4.5,11,4.8,4.0,0.0,0.0,5.0,58.0,0.0,0.0,https://www.davey.com/local-offices/northwest-seattle-tree-service/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Pacific Tree Services,Kent,+12067923113,4.5,11,4.9,27.0,0.0,0.0,0.0,0.0,0.0,0.0,https://pacifictreeservices.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Atlas Tree Care,Seattle,+12065237555,5.0,10,5.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Canopy Solutions,Auburn,+12063049659,4.5,10,4.7,39.0,5.0,2.0,5.0,12.0,0.0,0.0,http://www.canopysolutionsllc.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,A N A Tree Service LLC,Seattle,+12064338767,3.5,9,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Tree Solutions Consulting Arborists,Seattle,+12065284670,4.0,8,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.treesolutions.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Lambert Treescapes,Kenmore,+12069497641,4.5,8,0.0,0.0,0.0,0.0,5.0,110.0,0.0,0.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,First Leaf Design & Tree Care,Seattle,+13608403781,5.0,7,5.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,http://www.seattlearborist.com/,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
